num	safe_title	img	alt	link	news	year	month	day
2002	LeBron James and Stephen Curry	lebron_james_and_stephen_curry.png	The 538TR attempts to capture a player's combined skill at basketball (either real-life or NBA 2K18) and election forecasting.			2018	6	4
2003	Presidential Succession	presidential_succession.png	Ties are broken by whoever was closest to the surface of Europa when they were born.			2018	6	6
2004	Sun and Earth	sun_and_earth.png	But we don't need to worry about the boiling masses sandwiching the thin layer in which we live, since we're so fragile and short-lived that it's unlikely to kill us before something else does! Wait, why doesn't that sound reassuring?			2018	6	8
2005	Attention Span	attention_span.png	I didn't even realize they MADE a novelization of "Surf Ninjas." How did you-- Oh my god, it's signed by the author?!	https://www.newyorker.com/culture/rabbit-holes/the-repressive-authoritarian-soul-of-thomas-the-tank-engine-and-friends		2018	6	11
2006	Customer Rewards	customer_rewards.png	We'll pay you $1.47 to post on social media about our products, $2.05 to mention it in any group chats you're in, and 11 cents per passenger each time you drive your office carpool past one of our billboards.			2018	6	13
2007	Brookhaven RHIC	brookhaven_rhic.png	"Buddy, you trying to pull something? I can't buy this gold--all the electrons are missing. I could face serious charges!"			2018	6	15
2008	Irony Definition	irony_definition.png	Can you stop glaring at me like that? It makes me feel really ironic.			2018	6	18
2009	Hertzsprung-Russell Diagram	hertzsprung_russell_diagram.png	The Hertzsprung-Russell diagram is located in its own lower right corner, unless you're viewing it on an unusually big screen.			2018	6	20
2010	Update Notes	update_notes.png	v3.0.2: Hey, if anyone still using this app is headed to the beach, can you stop at 4th and River St and grab the sunscreen from my car? Trunk should be unlocked. Thanks!			2018	6	22
2011	Newton's Trajectories	newtons_trajectories.png	With just one extra line, he could have anticipated the 2003 film The Core, but some things are too audacious for even the greatest visionaries.			2018	6	25
2012	Thorough Analysis	thorough_analysis.png	The likely shape of the bells was determined through consultation with several bellringing experts at the Tower of London. Transcripts of those interviews are available in Appendix VII.			2018	6	27
2013	Rock	rock.png	It traveled so far to reach me. I owed it my best.			2018	6	29
2014	JWST Delays	jwst_delays.png	Since delays should get less likely closer to the launch, most astronomers in 2018 believed the expansion of the schedule was slowing, but by early 2020 new measurements indicated that it was actually accelerating.			2018	7	2
2015	New Phone Thread	new_phone_thread.png	I'm going to tell the manufacturer that their business practices are ADMIRABLE and ETHICAL and their developers are ATTRACTIVE and I'm going to report them to the FCC for their IMPECCABLE VIRTUE.			2018	7	4
2016	OEIS Submissions	oeis_submissions.png	SUB[59]: The submission numbers for my accepted OEIS submissions in chronological order			2018	7	6
2017	Stargazing 2	stargazing_2.png	I mean, it wasn't exactly MY thesis. When the FAA came to shut down our observatory for using the telescope mirror to shine light at airplanes, I took a thesis and a bunch of doctorates from the supply cabinet on my way out.			2018	7	9
2018	Wall Art	wall_art.png	At first, I moved from pokémon posters to regular oil paintings, but then these really grumpy and unreasonable detectives from the Louvre showed up and took them all. They wouldn't even give me back my thumbtacks!			2018	7	11
2019	An Apple for a Dollar	an_apple_for_a_dollar.png	I'd like 0.4608 apples, please.			2018	7	13
2020	Negative Results	negative_results.png	P.S. We're going to the beach this weekend, so I'm attaching my preregistration forms for that trip now, before we find out whether it produces any interesting results.			2018	7	16
2021	Software Development	software_development.png	Update: It turns out the cannon has a motorized base, and can make holes just fine using the barrel itself as a battering ram. But due to design constraints it won't work without a projectile loaded in, so we still need those drills.			2018	7	18
2022	Sports Champions	sports_champions.png	For a long time, people thought maybe Usain Bolt was the one for running, until the 2090s and the incredible dominance of Derek Legs.			2018	7	20
2023	Y-Axis	y_axis.png	We've also developed the semi-semi-log scale, where the Y-axis for the left half of the graph is a log scale but on the right half it isn't.			2018	7	23
2024	Light Hacks	light_hacks.png	Life hack: Wait for an advanced civilization to be briefly distracted, then sneak in and construct a slightly smaller Dyson sphere inside theirs.			2018	7	25
2025	Peer Review	peer_review.png	Your manuscript "Don't Pay $25 to Access Any of the Articles in this Journal: A Review of Preprint Repositories and Author Willingness to Email PDF Copies for Free" has also been rejected, but nice try.			2018	7	27
2026	Heat Index	heat_index.png	The heat index is calculated via looking up the "effective temperature" in a table of air temperature and humidity values, and then adding a bunch more degrees because it feels WAY hotter than that.			2018	7	30
2027	Lightning Distance	lightning_distance.png	The index of radio refraction does have a lot of variation, which might throw off your calculations, so you can also look at the difference in brightness between the visible flash and more-attenuated UV and x-rays.			2018	8	1
2028	Complex Numbers	complex_numbers.png	I'm trying to prove that mathematics forms a meta-abelian group, which would finally confirm my suspicions that algebraic geometry and geometric algebra are the same thing.			2018	8	3
2029	Disaster Movie	disaster_movie.png	Really, they'd be rushing around collecting revisions to go into the next scheduled quarterly public data update, not publishing them immediately, but you have to embellish things a little for Hollywood.			2018	8	6
2030	Voting Software	voting_software.png	There are lots of very smart people doing fascinating work on cryptographic voting protocols. We should be funding and encouraging them, and doing all our elections with paper ballots until everyone currently working in that field has retired.			2018	8	8
2031	Pie Charts	pie_charts.png	If you can't get your graphing tool to do the shading, just add some clip art of cosmologists discussing the unusual curvature of space in the area.			2018	8	10
2032	Word Puzzles	word_puzzles.png	Eno's storied aria was once soloed by Judge Lance Ito on the alto oboe at Ohio's AirAsia Arena.			2018	8	13
2033	Repair or Replace	repair_or_replace.png	Just make sure all your friends and family are out of the car, or that you've made backup friends and family at home.			2018	8	15
2034	Equations	equations.png	All electromagnetic equations: The same as all fluid dynamics equations, but with the 8 and 23 replaced with the permittivity and permeability of free space, respectively.			2018	8	17
